id,kampong,mukim,district,gender,age,education,q_fbspeed,q_fbqual,q_mbqual,q_fbexpend,q_fbusage,q_limiting
1760,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Male,38,O Level,331,Poor,Excellent,61,250,I've tried to find cheaper options before but they never seem to work out in the end.
1761,Kg. Baong,Mukim Lumapas,Brunei-Muara,Male,55,Higher National Diploma,908,Good,Fair,61,200,I rarely subscribe to services because they just don't seem worth the cost every month.
1762,Kg. Orang Kaya Besar Imas,Mukim Berakas A,Brunei-Muara,Female,57,National Certificate,11,Good,Good,37,80,I try to limit how much I stream and surf on Netflix because it really adds up in our monthly budget.
1763,Kg. Kuala Abang,Mukim Lamunin,Tutong,Female,37,Bachelor Degree,51,Good,Good,61,290,It's really dragging me down to constantly shelling out for these one-time fees that seem pointless just to get access to internet speeds I could easily manage at home.
1764,Kg. Rimba,Mukim Gadong A,Brunei-Muara,Female,62,O Level,51,Excellent,Good,15,110,It's hard to justify paying even $10 more per month when every little extra expense adds up and feels like I'm barely saving money at this point.
1765,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Female,30,Master Degree,51,Fair,Fair,61,310,I'm stuck at home because none of my devices can connect to this new streaming service and I don't want to struggle with it all day.
1766,Kg. Pangkalan Sibabau,Mukim Mentiri,Brunei-Muara,Male,24,Bachelor Degree,13,Good,Good,61,230,Paying bills is such a hassle for me because it's just one more thing to keep track of every month and make sure I don't overpay or get screwed out of a refund.
1767,Kg. Meragang,Mukim Serasa,Brunei-Muara,Male,32,Bachelor Degree,196,Very Good,Fair,36,220,I rarely subscribe to services or download anything new because one-time fees like setup costs and subscription charges always seem way too expensive upfront.
1768,Kg. Pandan C,Mukim Kuala Belait,Belait,Female,59,National Diploma,27,Very Good,Poor,61,280,I hardly ever use public Wi-Fi because it's just too scary to risk getting hacked.
1769,Kg. Tanjong Bunut,Mukim Kilanas,Brunei-Muara,Male,28,Master Degree,18,Good,Good,61,160,It's really annoying when I use up way less than all the data allowed on my limited subscription because my phone just can't get any decent signal outside of town.
1770,Kg. Pandan C,Mukim Kuala Belait,Belait,Male,38,National Diploma,177,Good,Good,61,220,I avoid using public Wi-Fi as much as possible because I've had too many close calls with malware in the past.
1771,Kg. Bengkurong,Mukim Kilanas,Brunei-Muara,Male,23,O Level,1002,Very Good,Excellent,61,240,"It's really frustrating when you're just getting back online and need to set up your new plan, only to realize it costs more than your monthly bill."
1772,Kg. Sengkarai,Mukim Pekan Tutong,Tutong,Male,54,Lower Secondary,146,Very Good,Fair,61,120,It's really frustrating when I have to cancel videos mid-buffer because my phone can't download any more data.
1773,Kg. Pandan A,Mukim Kuala Belait,Belait,Female,19,Lower Secondary,139,Poor,Good,61,230,"I'd have to pay for Wi-Fi if I were at home, which would just be another monthly bill in the mail."
1774,Kg. Subok Kota Batu,Mukim Kota Batu,Brunei-Muara,Male,43,Bachelor Degree,85,Fair,Good,61,290,I barely stream anything because my plans are too small to handle any more than occasional video calls.
1775,Perkhemahan Berakas,Mukim Berakas A,Brunei-Muara,Female,41,Bachelor Degree,1012,Very Good,Excellent,61,220,It's hard for me to commit to paying that monthly bill anymore.
1776,Kg. Kebia,Mukim Kiudang,Tutong,Female,13,O Level,51,Fair,Fair,15,120,I wish I had better connectivity but living out here is more cost-effective than moving to the city.
1777,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Female,17,Higher National Diploma,250,Poor,Very Good,15,120,It's really frustrating to have decent internet at home but be disconnected halfway through an online call on the road.
1778,Kg. Sungai Liang,Mukim Liang,Belait,Female,36,PhD,54,Fair,Good,15,60,I've cut back on streaming and online gaming because it's getting really expensive to keep all my devices connected at home.
1779,Kg. Menglait,Mukim Gadong B,Brunei-Muara,Male,36,O Level,17,Good,Good,61,300,I don't use websites that haven't figured out how to work properly yet.
1780,Kg. Pangkalan Sibabau,Mukim Mentiri,Brunei-Muara,Female,26,O Level,975,Good,Fair,61,270,"I just don't really see what all the features do for me, so it's hard to get excited about signing up for another service that doesn't even understand how I use my time online yet."
1781,Kg. Jerudong,Mukim Sengkurong,Brunei-Muara,Female,42,Lower Secondary,253,Fair,Fair,61,240,I won't sign up for any new apps because I just got hacked last month and lost all my money.
1782,Kg. Mulaut,Mukim Sengkurong,Brunei-Muara,Female,35,Lower Secondary,119,Good,Fair,61,320,I'd probably stick to using public Wi-Fi whenever possible instead of shelling out for that monthly internet plan because it's just getting more expensive every few months.
1783,Kg. Pandan A,Mukim Kuala Belait,Belait,Male,22,Bachelor Degree,51,Very Good,Good,61,250,I live way out here and sometimes I'm one of those people who get really frustrated because cell service just can't compete with Wi-Fi around home.
1784,Kg. Lambak B,Mukim Berakas A,Brunei-Muara,Male,39,Higher National Diploma,37,Poor,Very Good,15,60,I spend way too much time searching for online resources that aren't here and it's really frustrating.
1785,Kg. Lambak A,Mukim Berakas A,Brunei-Muara,Female,15,O Level,64,Fair,Good,61,200,"I don't think it's worth paying extra for these speed boosts – honestly, my internet's fine as is and I just can't see myself spending more cash on something that likely won't make that big of a difference."
1786,Perumahan Negara Lumut Kawasan 2,Mukim Liang,Belait,Female,40,O Level,112,Fair,Excellent,61,130,I never really consider upgrading to newer devices or services solely because of the upfront prices; they're just too steep for me.
1787,Kg. Perpindahan Mata-Mata,Mukim Gadong B,Brunei-Muara,Male,53,National Diploma,57,Good,Very Good,61,250,It's really frustrating to try and stream videos on this limited internet when all I want is to watch my favorite show later in the day.
1788,Kg. Kilugus,Mukim Lumapas,Brunei-Muara,Female,40,Bachelor Degree,190,Very Good,Very Good,61,200,"It's frustrating when you know other people nearby can stream high-quality videos without any issues, but I get buffering constantly here."
1789,Kg. Tagap,Mukim Sengkurong,Brunei-Muara,Male,32,National Diploma,177,Very Good,Excellent,60,300,I try to use public libraries more often because they usually have reliable Wi-Fi when my mobile data is slow at home.
1790,Kg. Salambigar,Mukim Berakas B,Brunei-Muara,Male,30,Bachelor Degree,177,Good,Very Good,60,210,Mobile signals are super weak where I live so I miss work calls all the time.
1791,Kg. Sungai Matan,Mukim Kota Batu,Brunei-Muara,Female,39,Master Degree,702,Excellent,Good,60,630,I only use public Wi-Fi at coffee shops or libraries because that's where everyone else is anyway.
1792,Kg. Limau Manis,Mukim Pangkalan Batu,Brunei-Muara,Female,41,Bachelor Degree,80,Fair,Good,60,210,"It's really frustrating when you want to set up a new internet account, but it's so expensive upfront that you're hesitant to even try to get started online."
1793,Kg. Sungai Orok,Mukim Berakas B,Brunei-Muara,Male,53,Master Degree,217,Good,Very Good,15,40,I'm always hesitant to upgrade our internet plan because it feels like we're getting charged more than what we need.
1794,Kg. Panaga,Mukim Seria,Belait,Male,54,Bachelor Degree,82,Very Good,Excellent,60,230,It's super frustrating when we're in the middle of work/school and can't get online because nothing shows up on my map.
1795,Kg. Sungai Akar,Mukim Berakas B,Brunei-Muara,Female,44,Bachelor Degree,146,Poor,Good,60,270,I'd rather spend my money on something essential than paying through the nose for internet like I do now.
1796,Kg. Kilugus,Mukim Lumapas,Brunei-Muara,Female,61,National Diploma,85,Fair,Poor,60,800,Too often I get frustrated trying to load just one video because every single one plays in buffering.
1797,Kg. Telanai,Mukim Kilanas,Brunei-Muara,Male,50,Lower Secondary,249,Very Good,Good,14,80,I usually stick to free public Wi-Fi or visit libraries and cafes for online stuff 'cause the costs are just too steep for me sometimes.
1798,Kg. Jerudong,Mukim Sengkurong,Brunei-Muara,Male,20,Lower Secondary,35,Good,Good,60,120,It's frustrating when I run out of data mid-week and have to cancel plans with friends because our video calls are buffering all day.
1799,Kg. Tanah Jambu,Mukim Mentiri,Brunei-Muara,Male,35,Master Degree,213,Good,Good,60,390,I usually spend time streaming shows at home when our internet is down.
1800,Kg. Petani,Mukim Pekan Tutong,Tutong,Male,52,Higher National Diploma,119,Good,Excellent,60,100,It's frustrating to get frustrated with our slow connection all the time because the internet just can't keep up with our family's streaming habits.
1801,Kg. Sengkurong A,Mukim Sengkurong,Brunei-Muara,Female,57,Bachelor Degree,14,Good,Good,60,150,"I've tried to switch to lower-cost prepaid plans, but it's hard when their data and minutes just don't last nearly long enough for our family's needs."
1802,Kg. Telanai,Mukim Kilanas,Brunei-Muara,Male,45,Bachelor Degree,41,Very Good,Poor,-10,110,"I have to spend way too much time searching for information that's already readily available on Google, which gets really frustrating."
1803,Perumahan Negara Rimba Kawasan 1,Mukim Gadong A,Brunei-Muara,Female,54,O Level,23,Fair,Fair,60,160,I rarely buy stuff online because I'm terrified of accidentally clicking on one of those fake websites that trick people into giving out their credit card numbers.
1804,Kg. Katok,Mukim Gadong A,Brunei-Muara,Male,48,National Diploma,805,Fair,Good,60,220,It's really frustrating when I run out of data too quickly because I need it for work and can't afford to keep renewing my subscription.
1805,Kg. Lambak B,Mukim Berakas A,Brunei-Muara,Male,49,Lower Secondary,53,Good,Good,14,130,I avoid using public Wi-Fi for anything important because it's just too tempting to get hacked while I'm relying on a free connection.
1806,Kg. Panaga,Mukim Seria,Belait,Female,23,Bachelor Degree,9,Good,Very Good,60,110,"The only way for me to stream movies at home is actually on our vacation rental's Wi-Fi, so I can skip Netflix altogether while we're there."
1807,Kg. Lambak A,Mukim Berakas A,Brunei-Muara,Male,58,National Diploma,923,Good,Good,60,330,It's super frustrating when I try to get work done from home and our internet just cuts out every 10 minutes because we live on the outskirts of town.
1808,Kg. Sungai Tilong,Mukim Berakas B,Brunei-Muara,Male,48,O Level,91,Very Good,Excellent,60,250,It's hard for me to stay connected when I don't know how to use most of my internet settings to their full potential.
1809,Kg. Batu Ampar,Mukim Pangkalan Batu,Brunei-Muara,Male,46,O Level,17,Very Good,Good,60,120,I have to prioritize making ends meet over staying connected regularly.
1810,Kg. Kiulap,Mukim Gadong B,Brunei-Muara,Male,42,O Level,89,Very Good,Good,14,110,"I avoid watching videos on YouTube because it's just too expensive with our limited data plan, even 10 minutes goes down faster than I think!"
1811,Kg. Meragang,Mukim Serasa,Brunei-Muara,Female,36,Lower Secondary,133,Good,Good,60,300,I don't get to stream or download as much content when it's eating up most of our monthly budget.
1812,STKRJ Lambak Kiri,Mukim Berakas A,Brunei-Muara,Male,21,Diploma,28,Good,Very Good,60,250,I mostly work and watch videos at public libraries because there’s internet available almost everywhere else in town now.
1813,Perumahan Negara Lumut Kawasan 1,Mukim Liang,Belait,Male,25,O Level,27,Good,Fair,14,120,I avoid cutting back on internet plans for business since it's really affecting my daily work flow.
1814,Kg. Bukit Beruang,Mukim Telisai,Tutong,Male,39,Lower Secondary,14,Very Good,Very Good,60,330,I have to turn off Wi-Fi whenever we're out of town because our subscription isn't allowed in more than three states from home.
1815,Kg. Kuala Abang,Mukim Lamunin,Tutong,Female,36,Master Degree,278,Poor,Very Good,14,60,It's so inconvenient that our home Wi-Fi has been out for over a week and we've had to rely on our neighbor's connection just to check emails and pay bills.
1816,Kg. Meragang,Mukim Serasa,Brunei-Muara,Female,50,Bachelor Degree,216,Very Good,Fair,60,210,It’s really frustrating for me to sign up for new internet services because both the yearly fees and the hefty one-time registration fee are just too steep for my budget.
1817,Kg. Sungai Buloh,Mukim Mentiri,Brunei-Muara,Male,40,Lower Secondary,61,Very Good,Fair,59,290,I'm always trying to find free Wi-Fi spots without going over my data limit so I don't get charged extra on my bill every month.
1818,Kg. Kilanas,Mukim Kilanas,Brunei-Muara,Female,33,National Diploma,56,Good,Good,59,270,I rarely do any online banking or streaming because everything just seems so pricey these days.
1819,Kg. Sengkurong A,Mukim Sengkurong,Brunei-Muara,Male,58,Master Degree,54,Fair,Good,59,210,I get so frustrated when I try to stream a new show only to find out the app won't play because it doesn't work on my old device anymore.
1820,Kg. Madang,Mukim Berakas B,Brunei-Muara,Female,52,Bachelor Degree,22,Very Good,Good,59,130,"For work/school stuff, life is just easier when you can use your phone's hotspot instead of dealing with spotty home Wi-Fi all the time."
1821,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Male,60,Bachelor Degree,135,Good,Very Good,14,110,I avoid keeping up with all the latest games and apps because one-time costs are just too overwhelming for me financially.
1822,Kg. Panapar-Danau,Mukim Telisai,Tutong,Female,29,O Level,255,Excellent,Very Good,59,150,It's frustrating when all I can get are slow loads and buffering on video streaming because nowhere is good enough for fast internet where I live.
1823,Kg. Katok,Mukim Gadong A,Brunei-Muara,Female,33,Lower Secondary,792,Good,Very Good,59,130,It's really frustrating when I need to download something bigger than just social media updates!
1824,Kg. Sungai Akar,Mukim Berakas B,Brunei-Muara,Male,29,National Diploma,53,Excellent,Very Good,13,160,It's really inconvenient when I'm trying to make an important call on the go because reception is spotty everywhere.
1825,Kg. Sungai Tali,Mukim Liang,Belait,Male,24,National Certificate,51,Excellent,Very Good,59,260,I only do online banking and shopping occasionally because it's exhausting trying to stay one step ahead of those pesky scams.
1826,Kg. Sungai Bakong,Mukim Liang,Belait,Male,33,Bachelor Degree,43,Excellent,Very Good,59,240,"I used to look forward to playing games and catching up with friends online, but one-time fee plus setup costs have deterred me from buying a new router that would make my life more convenient here at home."
1827,Kg. Kumbang Pasang,Mukim Kianggeh,Brunei-Muara,Female,47,Bachelor Degree,10,Very Good,Very Good,59,190,I still prefer to browse at the library because they already have reliable Wi-Fi there.
1828,Kg. Setia A,Mukim Sungai Kebun,Brunei-Muara,Male,52,Master Degree,164,Good,Good,59,310,I rarely sign up for new services or install software until I've checked their prices because one-time fees always seem way too steep to me.
1829,Kg. Lambak B,Mukim Berakas A,Brunei-Muara,Male,52,O Level,45,Poor,Good,59,290,I'd rather just visit friends who have better Wi-Fi than deal with a slow connection at home all the time.
1830,Perumahan Negara Rimba Kawasan 1,Mukim Gadong A,Brunei-Muara,Male,44,O Level,41,Good,Excellent,59,60,I rarely take advantage of the websites they offer because one-time fees for membership are just too steep for me to swallow every month or year.
1831,Kg. Kianggeh,Mukim Kianggeh,Brunei-Muara,Male,22,A Level,206,Excellent,Fair,59,630,It's a real pain when my phone runs out of data every week because I just can't afford to swap plans in time.
1832,Kg. Sungai Buloh,Mukim Mentiri,Brunei-Muara,Male,34,Bachelor Degree,28,Fair,Good,59,220,I'm really hesitant to upgrade our internet plan because the prices seem pretty steep considering what we get from the current one.
1833,Kg. Sungai Tilong,Mukim Berakas B,Brunei-Muara,Male,32,Bachelor Degree,34,Good,Very Good,59,830,I'd really upgrade to better internet speeds if it wasn't so expensive every month.
1834,Kg. Masin,Mukim Pangkalan Batu,Brunei-Muara,Female,42,Bachelor Degree,7,Excellent,Good,59,110,"I've tried to set up some new apps before but it's just not worth spending that kind of money every single time, so I don't bother updating or changing anything on my devices."
1835,Kg. Tanjong Kindana,Mukim Kota Batu,Brunei-Muara,Female,43,Bachelor Degree,272,Excellent,Very Good,59,330,It's really frustrating when you need to stream something online but it keeps buffering because your signal is so weak here.
1836,Kg. Jerudong,Mukim Sengkurong,Brunei-Muara,Female,64,Higher National Diploma,48,Excellent,Very Good,59,200,"But honestly, it's really frustrating to try and make phone calls while traveling abroad because reliable service just seems impossible."
1837,Kg. Subok Kota Batu,Mukim Kota Batu,Brunei-Muara,Male,50,O Level,1034,Good,Good,59,210,It's super inconvenient when we're halfway through watching that new show and the WiFi suddenly drops because our rural area keeps losing connection.
1838,Kg. Bengkurong,Mukim Kilanas,Brunei-Muara,Female,32,Bachelor Degree,112,Fair,Very Good,59,210,I struggle to get reliable internet on the go because poor mobile network coverage and quality of calls are super frustrating after paying an inflated monthly bill for that very thing.
1839,Kg. Manggis,Mukim Berakas B,Brunei-Muara,Male,33,A Level,562,Very Good,Fair,36,190,I rarely upgrade because the extra fees for one-time registration and installation are just so overwhelming to me.
1840,Kg. Pancha Delima,Mukim Berakas A,Brunei-Muara,Male,32,Diploma,488,Excellent,Excellent,59,270,"I hardly ever use it just to browse Reddit, it seems like a waste of money when all they really do is have YouTube."
1841,Kg. Sungai Bera,Mukim Seria,Belait,Female,44,Bachelor Degree,19,Very Good,Poor,13,120,I struggle to make decent phone calls or get reliable data on the road because it's so weak in most areas I visit.
1842,Kg. Sungai Hanching,Mukim Berakas B,Brunei-Muara,Female,38,Master Degree,51,Fair,Good,36,60,It's super frustrating that I'm stuck with no internet at all and can't get anything done without a signal for miles around.
1843,Perumahan Negara Lumut Kawasan 2,Mukim Liang,Belait,Female,19,O Level,34,Good,Excellent,58,190,It's really frustrating for me when I buy a new computer and need two separate payments just to get online – it adds up quickly!
1844,Kg. Madang,Mukim Berakas B,Brunei-Muara,Male,44,Bachelor Degree,353,Good,Very Good,58,250,"I have to admit, internet speeds in this area are severely limiting my ability to stream and watch videos smoothly."
1845,Kg. Lambak B,Mukim Berakas A,Brunei-Muara,Female,41,Lower Secondary,24,Good,Good,58,40,I'm really careful what I click on now that my grandma hacked into our family's email account looking for lottery scams.
1846,Kg. Katok,Mukim Gadong A,Brunei-Muara,Female,25,Master Degree,56,Good,Very Good,58,150,It's really frustrating when I think about upgrading to a new phone but my mobile signal is so weak in our country that 4G just isn't an option for me.
1847,Kg. Pusar Ulak,Mukim Kianggeh,Brunei-Muara,Male,51,Higher National Diploma,74,Very Good,Very Good,36,120,I rarely buy things from online stores because one-time registration fees are just so expensive and take away from whatever sale I'm thinking of making.
1848,Kg. Sungai Tilong,Mukim Berakas B,Brunei-Muara,Female,50,Higher National Diploma,55,Fair,Good,13,120,I rarely make purchases online because it's hard to see if they'd actually save me money before handing over my credit card details.
1849,Kg. Lilas,Mukim Liang,Belait,Male,51,National Diploma,200,Very Good,Good,36,60,"It's really frustrating when you're trying to set up your new router for the first time, and the setup process costs as much as I buy pizza this week."
1850,Kg. Lumut Tersusun,Mukim Liang,Belait,Female,61,A Level,74,Very Good,Very Good,13,120,It's really frustrating when I try to stream videos or upload files and get error messages because supposedly I've reached my limit for this month.
1851,Kg. Bukit Beruang,Mukim Telisai,Tutong,Male,21,National Certificate,151,Good,Very Good,58,170,It's really inconvenient that I have to cut back on TV streaming and limit my online gaming because the cost of even just browsing is getting outta control.
1852,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Male,42,A Level,714,Good,Good,58,70,I try to find free alternatives for online shopping and banking before committing to paid plans.
1853,Kg. Tanah Jambu,Mukim Mentiri,Brunei-Muara,Female,28,Lower Secondary,46,Poor,Good,58,130,"I usually don't need home Wi-Fi when I have mobile data, which works just fine for me and makes the hassle worth it."
1854,Kg. Telisai,Mukim Telisai,Tutong,Female,44,Bachelor Degree,188,Fair,Fair,36,120,"It's really frustrating when I'm trying to finish an important call, but the connection keeps dropping so the other person disconnects."
1855,Kg. Sungai Buloh,Mukim Mentiri,Brunei-Muara,Male,46,National Diploma,61,Excellent,Poor,58,220,It's hard when I'm on a tight budget and paying all that for internet feels like I'm breaking the bank every month.
1856,Perumahan Negara Rimba Kawasan 3,Mukim Gadong A,Brunei-Muara,Male,41,Master Degree,52,Poor,Poor,58,320,I rarely use it because the initial fee seems way out of budget for just setting up a new account with this service.
1857,Kg. Tanah Jambu,Mukim Mentiri,Brunei-Muara,Male,22,National Diploma,129,Very Good,Good,58,340,I've had to cut back on streaming and browsing because the internet plan prices have gotten way out of control for my budget.
1858,Kg. Rimba,Mukim Gadong A,Brunei-Muara,Female,39,Bachelor Degree,57,Fair,Very Good,58,230,"I avoid doing finances and shopping online due to concerns about viruses, spyware, and phishing scams."
1859,Kg. Menglait,Mukim Gadong B,Brunei-Muara,Male,39,Bachelor Degree,238,Good,Good,58,300,I'm really careful with how much time I spend on the internet these days because it's just too expensive for me to afford regularly.
1860,Kg. Sengkurong A,Mukim Sengkurong,Brunei-Muara,Male,27,Higher National Diploma,34,Good,Good,-12,100,I'm really hesitant to install those programs at home because they're just so expensive and I don't want to feel pressured into paying extra fees every month.
1861,Kg. Kasat,Mukim Lumapas,Brunei-Muara,Male,43,Lower Secondary,59,Excellent,Very Good,36,110,It's frustrating when I'm trying to stream videos for family gatherings but our internet always drops out mid-buf because we just don't have enough bandwidth from our limited plan.
1862,Kg. Tanah Jambu,Mukim Mentiri,Brunei-Muara,Male,42,A Level,11,Fair,Good,58,280,I'd pay more for faster service or better customer support if that's what they were offering.
1863,Kg. Kilanas,Mukim Kilanas,Brunei-Muara,Female,19,National Diploma,370,Poor,Very Good,58,230,I have to cut back on streaming a lot since my phone's data plan is so limited and it just gets really frustrating when I want to watch something new.
1864,Kg. Pengiran Siraja Muda Delima Satu,Mukim Berakas A,Brunei-Muara,Male,23,A Level,215,Good,Very Good,58,240,It's really frustrating when streaming suddenly cuts out every few minutes because you're so far from any decent tower signal here.
1865,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Male,29,Master Degree,595,Good,Fair,57,140,I get frustrated when I try to upload multiple photos at once because my plan just never covers enough bandwidth for it.
1866,Kg. Sungai Kebun,Mukim Sungai Kebun,Brunei-Muara,Female,25,Bachelor Degree,203,Very Good,Very Good,57,130,I've tried using different internet services around here but they're always slow and keep dropping out at the worst moments.
1867,STKRJ Rimba,Mukim Gadong A,Brunei-Muara,Female,43,Higher National Diploma,736,Very Good,Fair,57,240,I rarely visit websites because the one-time registration fee and installation charges are just too pricey for me to consider worth it sometimes.
1868,Perumahan Negara Lambak Kanan Kawasan 4,Mukim Berakas B,Brunei-Muara,Male,22,O Level,58,Poor,Good,12,10,I've been sticking with my current plan for years because it's just not worth the extra cash to upgrade now.
1869,Kg. Madang,Mukim Berakas B,Brunei-Muara,Female,27,Bachelor Degree,196,Good,Good,57,170,It's really frustrating when I try to set up a new smartphone feature but don't know if I'm doing it right because I don't have any practice with Android or iOS.
1870,Kg. Pusar Ulak,Mukim Kianggeh,Brunei-Muara,Male,22,Bachelor Degree,61,Fair,Poor,57,220,I rarely use the TV app on my phone because it's just not very useful compared to using a separate streaming device.
1871,Kg. Tungkadeh,Mukim Kianggeh,Brunei-Muara,Female,46,Higher National Diploma,35,Good,Good,57,130,I struggle to keep up with the latest tech trends because I've never gotten past dial-up internet in school.
1872,Kg. Pangkalan Gadong,Mukim Gadong B,Brunei-Muara,Male,22,National Diploma,1072,Very Good,Very Good,57,160,It's annoying to keep updating my phone when there are no new apps available in my area that I actually want.
1873,Kg. Mata-Mata,Mukim Gadong B,Brunei-Muara,Female,41,A Level,182,Fair,Good,57,110,I hate wasting data trying to get just one good internet connection for my work from home - it's so frustrating when things are consistently slow or buffering everywhere I go.
1874,Kg. Bakiau,Mukim Kiudang,Tutong,Female,47,National Diploma,298,Fair,Very Good,36,280,"It's really frustrating when I'm out and about and can't even get a decent signal to make an important call, so I try to avoid using my phone unless I know I'll be in a reliable spot."
1875,Kg. Lubok Pulau,Mukim Tanjong Maya,Tutong,Female,16,O Level,51,Good,Fair,57,80,It's really frustrating when you're trying to stream a video but it buffers like crazy because our upload speeds are just so slow.
1876,Kg. Sungai Bakong,Mukim Liang,Belait,Male,39,National Diploma,14,Good,Good,57,160,"Honestly, I avoid buying new things or shopping online anytime something suspicious pops up on my credit report."
1877,Perkhemahan Berakas,Mukim Berakas A,Brunei-Muara,Female,42,Bachelor Degree,41,Good,Very Good,57,280,I just can't afford to sign up for a new service with no free trial because of that ridiculously high one-time fee for the initial installation.
1878,Kg. Pasai,Mukim Sengkurong,Brunei-Muara,Female,26,Master Degree,800,Very Good,Very Good,57,70,"It's pretty easy for me since my partner has 4 bars everywhere they go, so we just use their phone when we're not at home."
1879,Kg. Batang Perhentian,Mukim Pangkalan Batu,Brunei-Muara,Male,36,Diploma,380,Very Good,Fair,57,100,I don't really use public Wi-Fi for anything because it's never reliable in my area.
1880,Kg. Panchor Lumapas,Mukim Lumapas,Brunei-Muara,Female,17,Master Degree,31,Very Good,Good,57,320,I often struggle to set up my home Wi-Fi network and stay connected while traveling because I just don't know enough about networking basics.
1881,Kg. Sungai Bera,Mukim Seria,Belait,Male,17,O Level,51,Good,Very Good,36,80,I rarely stream videos or browse too much online because having a limited data plan just leaves me with so little wiggle room to do anything else on my tablet when it runs out of data.
1882,Kg. Lamunin,Mukim Lamunin,Tutong,Female,39,O Level,277,Good,Fair,57,60,I try to limit my online browsing mainly when my paycheck comes in because paying for these expensive internet plans feels like an added expense every month.
1883,Kg. Bukit Beruang,Mukim Telisai,Tutong,Female,35,A Level,179,Very Good,Good,57,220,"I've started using a cheaper internet plan to cut back elsewhere in my budget, but it's really slowing me down online."
1884,Kg. Pasai,Mukim Sengkurong,Brunei-Muara,Female,24,Bachelor Degree,171,Very Poor,Fair,57,110,It's really frustrating when you try to stream something online and it keeps buffering because I live so far out of town.
1885,Kg. Beribi,Mukim Gadong B,Brunei-Muara,Female,24,National Diploma,30,Very Good,Fair,57,640,Streaming videos on Netflix during peak hours is a real hassle for me that leaves me unable to catch up with new episodes every week because of this ridiculous data cap in my limited prepaid internet plan.
1886,Kg. Pandan C,Mukim Kuala Belait,Belait,Male,41,O Level,860,Very Good,Good,12,80,I struggle to stream movies and watch live sports because it's just so expensive on my monthly data plan.
1887,Kg. Serambangun,Mukim Pekan Tutong,Tutong,Female,50,Diploma,33,Good,Very Poor,12,100,It's really frustrating when I need to do something complex online and don't understand how to navigate it because I struggle with basic tech issues.
1888,Kg. Pancha Delima,Mukim Berakas A,Brunei-Muara,Female,43,Primary School,897,Good,Good,57,120,I almost never make video calls because my phone's signal drops constantly and it's really frustrating on conference calls.
1889,Kg. Rimba,Mukim Gadong A,Brunei-Muara,Female,19,Higher National Diploma,783,Good,Very Good,57,160,I only make ends meet by streaming and browsing on this old phone so cutting back on home internet was the hardest choice I had to make.
1890,Kg. Tanjong Panjang,Mukim Tanjong Maya,Tutong,Male,42,Master Degree,193,Very Good,Very Good,12,120,I feel like it's really hard to justify the cost of all the streaming and online services I need when they add up so quickly on my bill every month.
1891,Kg. Telisai,Mukim Telisai,Tutong,Male,31,O Level,81,Very Good,Good,56,600,"It's hard for me to keep using these websites when I have to pay such a big fee every year, plus extra cash upfront."
1892,Kg. Tanjong Maya,Mukim Tanjong Maya,Tutong,Male,51,O Level,24,Excellent,Good,12,50,Our family's internet plan just doesn't leave me enough money to stay connected to our friends and loved ones who live far away.
1893,Kg. Kilugus,Mukim Lumapas,Brunei-Muara,Female,42,Diploma,11,Fair,Good,56,230,"I wish I could afford more data and faster speeds when I need them, but this plan is just too expensive for me right now."
1894,Kg. Mulaut,Mukim Sengkurong,Brunei-Muara,Male,42,Master Degree,81,Fair,Fair,56,200,I struggle to keep up with new technologies because I'm not as tech-savvy as some others in my household and feel like I'm always playing catch-up.
1895,STKRJ Tungku Kawasan 3,Mukim Gadong A,Brunei-Muara,Male,49,Primary School,240,Poor,Very Good,56,200,"It's frustrating when I'm in an area with no signal at all, but even when I do have some service, the call is always dropped somehow."
1896,Kg. Pandan A,Mukim Kuala Belait,Belait,Male,23,O Level,212,Excellent,Fair,56,170,I have to cut back on streaming and browsing because $50 a month for internet feels really steep most of the time.
1897,Kg. Serusop,Mukim Berakas A,Brunei-Muara,Female,48,Master Degree,61,Fair,Good,12,130,I have friends who live just down the road and they're super connected and it's hard not to feel like I'm missing out when all I can get is a few bars at home.
1898,Kg. Tungku,Mukim Gadong A,Brunei-Muara,Male,45,A Level,44,Very Good,Very Good,11,280,It's really frustrating when my videos buffer multiple times on our slow connection while everyone else's seems so smooth online.
1899,Kg. Masin,Mukim Pangkalan Batu,Brunei-Muara,Female,57,Higher National Diploma,229,Very Good,Very Good,56,300,I avoid using mobile data when out of town because it's hard to get reliable reception and end up with dropped call after dropped call.
1900,Kg. Panaga,Mukim Seria,Belait,Male,35,Lower Secondary,271,Very Good,Good,56,130,"It's frustrating when speeds are so slow, especially with streaming and browsing, it feels like I'm just sitting there waiting for things to load."
1901,Kg. Sungai Akar,Mukim Berakas B,Brunei-Muara,Female,42,Lower Secondary,93,Fair,Good,56,260,I'm really frustrated with the internet plans we signed up for – it's just too expensive compared to what I get elsewhere in the country.
